Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,87.599998,89.650002,86.699997,88.500000,88.500000,2029550
2019-01-02,88.099998,89.000000,86.500000,86.949997,86.949997,2092382
2019-01-03,87.650002,88.199997,86.599998,87.099998,87.099998,1503297
2019-01-04,87.000000,87.750000,86.099998,87.099998,87.099998,1538874
2019-01-07,87.900002,92.750000,87.449997,89.400002,89.400002,4517441
2019-01-08,89.500000,89.849998,87.500000,88.150002,88.150002,2199439
2019-01-09,88.500000,89.500000,86.500000,87.949997,87.949997,1497305
2019-01-10,87.900002,90.199997,87.550003,88.699997,88.699997,2343464
2019-01-11,88.599998,88.800003,87.099998,87.650002,87.650002,1178414
2019-01-14,87.150002,87.900002,86.099998,86.500000,86.500000,983359
2019-01-15,87.000000,87.750000,84.900002,85.949997,85.949997,1693835
2019-01-16,86.199997,87.300003,85.500000,85.900002,85.900002,1313278
2019-01-17,86.199997,87.150002,85.599998,85.750000,85.750000,1712086
2019-01-18,86.000000,86.400002,84.849998,85.150002,85.150002,754986
2019-01-21,85.000000,85.000000,80.199997,80.599998,80.599998,1160197
2019-01-22,80.050003,80.099998,77.000000,77.900002,77.900002,1971845
2019-01-23,78.500000,84.400002,77.550003,83.349998,83.349998,3090391
2019-01-24,83.400002,85.199997,82.349998,84.050003,84.050003,2307843
2019-01-25,84.300003,84.900002,80.349998,81.750000,81.750000,1563847
2019-01-28,81.000000,81.599998,75.099998,76.449997,76.449997,1744042
2019-01-29,76.900002,77.250000,68.849998,74.000000,74.000000,4321589
2019-01-30,74.599998,75.400002,72.500000,73.650002,73.650002,1294536
2019-01-31,74.000000,75.750000,71.000000,73.599998,73.599998,1804787
2019-02-01,73.900002,80.400002,72.300003,75.099998,75.099998,3783830
2019-02-04,75.400002,75.400002,71.250000,72.349998,72.349998,1697682
2019-02-05,72.150002,72.750000,67.300003,69.349998,69.349998,2862742
2019-02-06,69.550003,70.250000,63.299999,69.300003,69.300003,3511869
