Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,432.500000,438.799988,429.649994,433.549988,427.663818,8487116
2019-01-02,430.500000,441.200012,429.250000,440.049988,434.075562,9656878
2019-01-03,442.049988,443.600006,434.000000,436.100006,430.179199,9479511
2019-01-04,439.100006,439.899994,432.200012,433.799988,427.910400,6228693
2019-01-07,437.100006,438.000000,429.299988,430.799988,424.951111,4118235
2019-01-08,433.799988,449.000000,432.350006,448.049988,441.966919,12368631
2019-01-09,450.500000,453.649994,443.700012,448.750000,442.657440,9034282
2019-01-10,445.100006,448.000000,440.450012,444.600006,438.563782,3672333
2019-01-11,445.049988,449.750000,441.600006,444.399994,438.366516,3778103
2019-01-14,447.000000,452.000000,443.750000,450.850006,444.728943,5784064
2019-01-15,453.250000,454.500000,449.500000,452.450012,446.307220,4291873
2019-01-16,451.399994,457.399994,447.149994,453.799988,447.638855,5879148
2019-01-17,455.000000,455.399994,422.500000,426.549988,420.758820,8343750
2019-01-18,424.049988,424.100006,370.200012,390.750000,385.444885,82906214
2019-01-21,390.100006,406.549988,390.049988,398.299988,392.892365,48936782
2019-01-22,411.000000,423.500000,409.399994,418.950012,413.262054,38255365
2019-01-23,417.700012,434.399994,411.649994,431.000000,425.148438,26921274
2019-01-24,431.000000,438.000000,417.100006,423.000000,417.257050,18446490
2019-01-25,425.399994,429.750000,419.350006,422.399994,416.665192,8720973
2019-01-28,424.000000,424.750000,410.149994,411.750000,406.159790,5809082
2019-01-29,410.500000,424.750000,406.250000,422.399994,416.665192,7472930
2019-01-30,424.000000,426.000000,416.200012,417.950012,412.275635,4351530
2019-01-31,419.000000,431.350006,413.700012,423.450012,417.700958,16672076
2019-02-01,421.200012,428.000000,417.000000,423.250000,417.503632,3950126
2019-02-04,422.299988,423.000000,409.200012,414.799988,409.168365,3679517
2019-02-05,414.799988,418.500000,406.549988,409.899994,404.334869,3523707
2019-02-06,410.000000,419.000000,403.299988,416.600006,410.943939,5638849
2019-02-07,423.000000,445.799988,421.100006,434.899994,428.995483,18187249
2019-02-08,434.000000,435.899994,424.500000,431.049988,425.197723,6133747
2019-02-11,432.250000,433.600006,420.850006,428.549988,422.731659,4945054
2019-02-12,427.200012,444.000000,424.049988,436.600006,430.672394,8559968
2019-02-14,432.000000,444.899994,428.649994,440.899994,434.914032,9040227
2019-02-15,440.750000,440.750000,416.450012,422.899994,417.158386,10206627
2019-02-18,424.500000,428.000000,413.299988,414.649994,409.020416,6210412
2019-02-19,417.149994,422.399994,412.350006,413.649994,408.033966,4742270
2019-02-20,418.000000,424.450012,416.049988,422.350006,416.615875,4385350
2019-02-21,425.200012,432.000000,422.700012,429.700012,423.866089,4736317
2019-02-22,431.000000,436.750000,428.450012,430.500000,424.655212,4373261
2019-02-25,431.399994,438.750000,427.500000,436.100006,430.179199,4849697
2019-02-26,430.500000,440.000000,422.850006,435.750000,429.833923,5255113
2019-02-27,436.500000,451.649994,436.000000,442.700012,436.689606,12232682
2019-02-28,446.600006,451.500000,442.100006,445.149994,439.106323,10862473
2019-03-01,447.899994,451.000000,445.049988,447.350006,441.276428,5608805
2019-03-05,447.850006,456.899994,445.350006,455.899994,449.710358,5251255
2019-03-06,457.000000,469.350006,446.950012,460.549988,454.297211,13004184
2019-03-07,459.500000,463.000000,448.799988,450.899994,444.778259,10701581
2019-03-08,449.500000,457.899994,447.299988,454.950012,448.773285,5040326
2019-03-11,456.000000,461.450012,454.000000,459.450012,453.212189,4628360
2019-03-12,463.000000,471.649994,462.000000,470.299988,463.914856,8660320
2019-03-13,473.000000,475.000000,452.500000,456.500000,450.302216,7156428
2019-03-14,456.899994,468.500000,456.000000,466.149994,459.821198,8039525
2019-03-15,466.200012,469.950012,462.299988,464.350006,458.045624,5877969
2019-03-18,466.000000,469.899994,458.649994,464.899994,458.588165,3785329
2019-03-19,467.500000,475.250000,466.649994,468.950012,462.583191,6725926
2019-03-20,470.750000,476.799988,466.000000,474.750000,468.304474,4235163
2019-03-22,475.799988,479.700012,469.350006,473.250000,466.824829,6125288
